check_param,tau,tau_rel,far,frr,accept_rate,accept_precision,n_rejects_by_check
suction_area.min_area_ratio,0.5552083333333333,0.5844298245614035,0.4551971326164875,0.20474777448071216,0.6412337662337663,0.6784810126582278,4
suction_area.min_area_ratio,0.6187499999999999,0.6513157894736842,0.4551971326164875,0.20474777448071216,0.6412337662337663,0.6784810126582278,10
suction_area.min_area_ratio,0.6822916666666666,0.7182017543859649,0.4551971326164875,0.20474777448071216,0.6412337662337663,0.6784810126582278,17
suction_area.min_area_ratio,0.7458333333333333,0.7850877192982456,0.4551971326164875,0.20474777448071216,0.6412337662337663,0.6784810126582278,26
suction_area.min_area_ratio,0.809375,0.8519736842105263,0.4551971326164875,0.20771513353115728,0.6396103896103896,0.6776649746192893,35
suction_area.min_area_ratio,0.8729166666666666,0.9188596491228069,0.4551971326164875,0.20771513353115728,0.6396103896103896,0.6776649746192893,44
suction_area.min_area_ratio,0.9364583333333334,0.9857456140350879,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,67
suction_area.min_area_ratio,0.95,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,67
suction_area.min_area_ratio,1.0,1.0526315789473684,0.4265232974910394,0.2166172106824926,0.6217532467532467,0.6892950391644909,87
edge_clearance.edge_clearance_min_m,0.0075,0.25,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,5
edge_clearance.edge_clearance_min_m,0.009449407874211547,0.31498026247371824,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,7
edge_clearance.edge_clearance_min_m,0.011905507889761496,0.3968502629920499,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,9
edge_clearance.edge_clearance_min_m,0.015000000000000003,0.5000000000000001,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,12
edge_clearance.edge_clearance_min_m,0.018898815748423097,0.6299605249474366,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,23
edge_clearance.edge_clearance_min_m,0.023811015779522982,0.7937005259840995,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,25
edge_clearance.edge_clearance_min_m,0.029999999999999995,0.9999999999999999,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,31
edge_clearance.edge_clearance_min_m,0.03,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,33
edge_clearance.edge_clearance_min_m,0.0377976314968462,1.2599210498948734,0.017921146953405017,0.9970326409495549,0.00974025974025974,0.16666666666666666,570
edge_clearance.edge_clearance_min_m,0.04762203155904597,1.5874010519681991,0.017921146953405017,0.9970326409495549,0.00974025974025974,0.16666666666666666,593
edge_clearance.edge_clearance_min_m,0.05999999999999997,1.9999999999999991,0.0,1.0,0.0,0.0,616
edge_clearance.edge_clearance_min_m,0.07559526299369236,2.5198420997897455,0.0,1.0,0.0,0.0,616
edge_clearance.edge_clearance_min_m,0.09524406311809196,3.1748021039363987,0.0,1.0,0.0,0.0,616
edge_clearance.edge_clearance_min_m,0.12,4.0,0.0,1.0,0.0,0.0,616
data_gaps.max_empty_cell_fraction,0.02,0.25,0.44086021505376344,0.2166172106824926,0.6282467532467533,0.6821705426356589,68
data_gaps.max_empty_cell_fraction,0.025198420997897472,0.3149802624737184,0.4444444444444444,0.2166172106824926,0.6298701298701299,0.6804123711340206,64
data_gaps.max_empty_cell_fraction,0.03174802103936399,0.3968502629920499,0.4444444444444444,0.2166172106824926,0.6298701298701299,0.6804123711340206,64
data_gaps.max_empty_cell_fraction,0.04000000000000001,0.5000000000000001,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,61
data_gaps.max_empty_cell_fraction,0.05039684199579492,0.6299605249474365,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,58
data_gaps.max_empty_cell_fraction,0.06349604207872799,0.7937005259840998,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,55
data_gaps.max_empty_cell_fraction,0.08,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,52
data_gaps.max_empty_cell_fraction,0.08000000000000003,1.0000000000000004,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,52
data_gaps.max_empty_cell_fraction,0.10079368399158986,1.2599210498948732,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,51
data_gaps.max_empty_cell_fraction,0.12699208415745597,1.5874010519681996,0.4444444444444444,0.20771513353115728,0.6347402597402597,0.6828644501278772,40
data_gaps.max_empty_cell_fraction,0.16,2.0,0.4444444444444444,0.20771513353115728,0.6347402597402597,0.6828644501278772,35
data_gaps.max_empty_cell_fraction,0.20158736798317975,2.519842099789747,0.4444444444444444,0.20771513353115728,0.6347402597402597,0.6828644501278772,32
data_gaps.max_empty_cell_fraction,0.2539841683149119,3.1748021039363983,0.44802867383512546,0.20771513353115728,0.6363636363636364,0.6811224489795918,25
data_gaps.max_empty_cell_fraction,0.32,4.0,0.44802867383512546,0.20771513353115728,0.6363636363636364,0.6811224489795918,14
depth_seam.depth_seam_span_ratio,0.1,0.25,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,39
depth_seam.depth_seam_span_ratio,0.12115276586285885,0.3028819146571471,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,39
depth_seam.depth_seam_span_ratio,0.14677992676220694,0.3669498169055173,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,25
depth_seam.depth_seam_span_ratio,0.1778279410038923,0.4445698525097307,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,20
depth_seam.depth_seam_span_ratio,0.21544346900318834,0.5386086725079708,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,19
depth_seam.depth_seam_span_ratio,0.26101572156825364,0.6525393039206341,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,17
