scene_id,category_band,gt_instance_id,gt_class,packaging_type,visible_px,visibility_ratio,match_iou,e_lat_mm,e_top_mm_signed,ext_err_long_rel,ext_err_short_rel,ext_err_height_rel,yaw_err_deg,yaw_fold_deg,e_bottom_mm_signed,bottom_cue,bottom_confidence,is_primary_target
scene_527,occlusion,41,Ikea Cardboard Package,rigid,12292,1.0026581794268148,0.9463065408395704,1.5200703207899349,1.3477373338872667,-0.0001086806907614041,0.019693985818181107,0.013881892817431565,2.647153854370117,180,-0.17920962259343476,gradient_global,0.92,True
scene_529,occlusion,36,Cardboard Box SQ01.001,rigid,28572,0.9938668488243037,0.9427411451770965,2.5842813166425462,-1.2733349378426517,-0.006516500757828763,0.022774518353815446,0.13745969527434077,1.9716415405273438,180,-43.509188612527616,gradient_global,0.92,True
scene_529,occlusion,12,Carton Magdeleine,rigid,2196,1.1119675818873112,0.7887067395264117,5.923791874079121,0.07471392488209161,-0.04685969965880682,-0.07113583035732872,-0.9309041974047326,2.9134268760681152,90,118.29951257877919,gradient_global,0.92,False
scene_530,edge,6,Ikea Cardboard Package,rigid,11360,1.0452512757266494,0.9182218309859155,5.379295721362271,0.6207095707352339,0.011415890611862515,0.029687419003618643,-0.872475071328895,2.6561813354492188,180,96.59188139459285,overlap_matched_parcel,0.7,True
scene_530,edge,17,Asset_Package_in_paper_with_rope,rigid,6420,0.8282544133962372,0.8925233644859814,7.491722796548195,-22.00612953839498,-0.043738111515430445,-0.13426203019618965,-0.8719999895616743,0.4608510136604309,180,98.2849077925415,overlap_matched_parcel,0.7,False
scene_530,edge,18,Black Package,rigid,5757,1.0188513381948998,0.9098488796248045,2.4564312961600243,7.824154184381205,-0.07102013793010109,-0.006515462977967725,-0.22004158756012343,0.9874371290206909,180,41.87237037372804,gradient_global,0.92,False
scene_531,edge,16,Куб,rigid,3939,1.0435803741895027,0.6461030718456461,30.504218868995856,19.419121871251054,-0.3143493052486846,-0.0006300673788095835,-0.6260242065107218,2.5409207344055176,180,75.00912804442427,gradient_global,0.92,True
scene_532,edge,10,Colis VistaPrint,rigid,3570,0.988155725897313,0.8969187675070028,1.5194571855182724,6.942558397209863,-0.047941058552637944,-0.0632535545330963,0.14023674398105745,2.4724209308624268,180,-11.965599180300297,gradient_global,0.92,True
scene_534,edge,16,Colis VistaPrint,rigid,7155,1.0338629215510657,0.9016072676450035,3.3162570511075358,3.737224686658047,-0.021183072384251572,-0.01863421456634283,-0.8676673694533035,2.430450439453125,180,120.78371556316702,gradient_global,0.92,False
scene_534,edge,17,Colis VistaPrint,rigid,7438,1.0766946826514552,0.8565474589943534,2.4390302191908515,4.273653960785495,-0.03656402596365617,-0.01936046224478411,-0.8976521890112573,0.701904296875,180,125.33920852876624,gradient_global,0.92,True
scene_534,edge,13,Carton Magdeleine,rigid,3026,1.0348296657272156,0.8737607402511567,5.3675950287065035,0.5248821015533256,-0.04594330723376072,-0.07660195815748515,-0.44985581157106547,0.6211077570915222,90,57.65572592125601,gradient_global,0.92,False
scene_535,edge,19,Colis VistaPrint,rigid,7187,1.0395046587555816,0.8252400166968137,8.222031114282142,15.302768060934447,-0.13270543714249317,-0.02616715822638348,-0.8081700740531654,0.39885133504867554,180,123.77358322510501,gradient_global,0.92,True
scene_535,edge,15,Space_Food_Bag,soft,1949,0.8701240890064131,0.6137931034482759,31.3804963019311,-0.508770590846197,0.00024305653666932293,0.3355338926592141,0.3258893355404378,1.4192886352539062,180,-9.587979443724027,gradient_global,0.92,False
scene_536,edge,17,Asset_Package_in_paper_with_rope,rigid,6504,0.8388417372198216,0.8591635916359164,4.423233969974932,-20.095098754950858,-0.06431377791507555,-0.09510402021075265,-0.5901494545225419,0.986479640007019,180,61.21082155320534,gradient_global,0.92,False
scene_536,edge,15,Asset_Package_in_paper_with_rope,rigid,6153,0.8448901742630027,0.8906224605883309,9.02273011616739,-22.175044906233012,-0.0204010648239462,-0.06243063021720977,-0.6475938528758675,3.4682211875915527,180,67.1669051209014,gradient_global,0.92,True
scene_536,edge,9,Colis VistaPrint,rigid,5481,0.9704200014814697,0.9209998175515417,4.746364177873443,13.213610672467846,-0.044862169461125055,-0.047108572948202775,-0.30135381122882204,1.5141677856445312,180,53.71704541480937,gradient_global,0.92,False
scene_537,edge,19,Asset_Package_in_paper_with_rope,rigid,5974,0.8448698399031392,0.8883495145631068,13.122367603427572,-22.265579875792916,-0.05544846076505604,-0.0663814695472617,-0.35085411116542203,1.7686330080032349,180,26.134489942608695,lateral_neighbor,0.75,True
scene_537,edge,9,Black Package,rigid,4893,1.0378387399625233,0.7525035765379113,13.124450511724781,16.33054742857698,-0.16902638094481864,-0.05013501798422155,0.1874186833325582,1.3876339197158813,180,-12.514543422288638,gradient_global,0.92,False
scene_538,edge,15,Black Package,rigid,5437,0.9896672922273492,0.8960823983814603,4.261338097047865,3.7136110066591232,-0.06766160235380035,-0.05991217846238392,1.0685961112679654,0.5844802856445312,180,-161.84848723687261,gradient_global,0.92,False
scene_538,edge,13,China Package,rigid,9073,1.0509063541628247,0.7978617877218119,10.989543835754796,8.2919873852898,0.0021620971151494416,-0.06424738904092488,-0.17362484994563168,3.9743690490722656,180,74.05186254585495,gradient_global,0.92,True
scene_538,edge,0,ML_Box,rigid,8050,0.6502914447097202,0.6270398575808526,18.14297691575155,17.79480650093168,-0.04406996057649862,-0.050651362690739846,-0.8199096424982685,0.9191070199012756,90,311.197877203724,gradient_global,0.92,False
scene_539,edge,13,Black Package,rigid,5793,1.005269599873702,0.9124805800103574,2.8140296906950137,0.4690264342830375,-0.02486297398677539,-0.036932103075655684,-0.714486073248219,0.18558773398399353,180,111.21354831250652,lateral_neighbor,0.75,False
scene_539,edge,15,Black Package,rigid,5849,1.014693357109147,0.9013506582321764,4.613766607861765,0.42086447121958415,-0.042535039795991915,-0.07039773376753124,-0.7198609429502696,0.08331888914108276,180,111.99848498858833,lateral_neighbor,0.75,True
scene_539,edge,6,Ikea Cardboard Package,rigid,10814,1.0038877845108856,0.9416497133345663,3.971427939116962,0.6471406997097251,-0.02820044727035698,-0.019907876279394245,0.03629987974389358,1.5017014741897583,180,-3.3458165254686145,gradient_global,0.92,False
scene_539,edge,12,Black Package,rigid,4984,1.0502317068162266,0.843900481540931,1.3946079026340423,6.55127316278703,-0.029639539681207364,-0.04871678200344619,0.8826674159244149,1.9325816631317139,180,-129.8758596619567,gradient_global,0.92,False
